Depth_m,Density_g_cm3,Vp_m_s,Vs_m_s,Bulk_Modulus_GPa,Shear_Modulus_GPa,Youngs_Modulus_GPa,Poissons_Ratio,Gamma_Ray_gAPI,Neutron_Porosity_pu
2560.2438,-1.5285,4.486952067045192,2.5822980419267605,-1.7182970979806137e-05,-1.0192440266562328e-05,-2.5529528686634723e-05,0.25237568329871796,53.4258,40.0104
2560.32,-1.5643,4.486952067045192,2.5822980419267605,-1.758542460170804e-05,-1.0431164088311056e-05,-2.612747250539922e-05,0.25237568329871796,54.1936,39.3586
2560.3962,-1.611,4.461057949845297,2.514455230240119,-1.847987426406904e-05,-1.0185523503964723e-05,-2.5813957585062356e-05,0.26718855319582996,54.9294,39.0642
2560.4724,-1.6696,4.461057949845297,2.514455230240119,-1.915207825654231e-05,-1.0556021131110801e-05,-2.675293828927381e-05,0.26718855319583,55.9337,39.3564
2560.5486,-1.7386,4.446305175831823,2.3314213332701015,-2.1771205534386455e-05,-9.450204518208354e-06,-2.4767074186392786e-05,0.31039884579600235,56.992,40.1337
2560.6248,-1.8141,4.446305175831823,2.3314213332701015,-2.271663635104709e-05,-9.860586688416988e-06,-2.5842602830746094e-05,0.3103988457960025,58.2472,41.0542
2560.701,-1.8889,4.4151965037669685,2.261325546301531,-2.3943386365527274e-05,-9.659066245263691e-06,-2.554247861154111e-05,0.32220226898567045,59.4246,41.7467
2560.7772,-1.9536,4.4151965037669685,2.261325546301531,-2.476351294599718e-05,-9.989915727008917e-06,-2.6417378482453645e-05,0.3222022689856704,60.756,42.0724
2560.8534,-1.9987,4.411381596086492,2.1765753928440086,-2.6270207256192166e-05,-9.468802156895146e-06,-2.5359551032589877e-05,0.3391108300918057,62.07,42.1544
2560.9296,-2.0185,4.411381596086492,2.1765753928440086,-2.6530451466765345e-05,-9.562604269621681e-06,-2.561077388266507e-05,0.33911083009180576,63.6152,42.2813
2561.0058,-2.0142,4.411381596086492,2.1765753928440086,-2.6473933784671174e-05,-9.542233103726527e-06,-2.5556215384921477e-05,0.33911083009180576,65.1259,42.63
2561.082,-1.9926,4.412786657400973,2.0897552627826106,-2.7198823961887648e-05,-8.70183774642361e-06,-2.358978574203619e-05,0.3554484942983112,66.733,43.1939
2561.1582,-1.9621,4.426083105228383,1.993369821767363,-2.804268767156869e-05,-7.796449961629682e-06,-2.1405614642696026e-05,0.37277958224858804,68.058,43.7082
2561.2344,-1.9297,4.426083105228383,1.993369821767363,-2.7579621018208095e-05,-7.667707808448498e-06,-2.1052145444172335e-05,0.37277958224858804,69.2443,43.7788
2561.3106,-1.8994,4.452878812448776,2.005854357073664,-2.7472024037200457e-05,-7.64214416238259e-06,-2.098094534066818e-05,0.37271326573136465,70.1484,43.0844
2561.3868,-1.8731,4.452878812448776,2.005854357073664,-2.7091633265283865e-05,-7.536327382625475e-06,-2.069043314604905e-05,0.3727132657313647,71.3429,41.6619
2561.463,-1.8518,4.493865166352627,2.041193535684724,-2.7109480542665783e-05,-7.715471090614262e-06,-2.1140824377578192e-05,0.37002809869222647,72.7478,39.9144
